title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
I'm Not Rappaport,1996-12-24,Comedy,en,"Old Nat Moyer is a talker, a philosopher, and a troublemaker with a fanciful imagination. His companion is Midge Carter, who is half-blind, but still the super of an apartment house. When he is threatened with retirement, Nat battles on his behalf. Nat also takes on his daughter, a drug dealer, and a mugger in this appealing version of a really 'odd couple'.",https://image.tmdb.org/t/p/w500/nFPlxTdwy5Z4PLSTaCRDFR1AWDJ.jpg,,135.0,5.613,31.0,1120
The Umbrellas of Cherbourg,1964-02-19,Drama|Romance,fr,"This simple romantic tragedy begins in 1957. Guy Foucher, a 20-year-old French auto mechanic, has fallen in love with 17-year-old Geneviève Emery, an employee in her widowed mother's chic but financially embattled umbrella shop. On the evening before Guy is to leave for a two-year tour of combat in Algeria, he and Geneviève make love. She becomes pregnant and must choose between waiting for Guy's return or accepting an offer of marriage from a wealthy diamond merchant.",https://image.tmdb.org/t/p/w500/tAgTf64XKK5ir7w5C7dnB53jWWG.jpg,A film for all the young lovers of the world.,92.0,7.4,829.0,1121
They Made Me a Criminal,1939-01-21,Crime|Drama,en,"A boxer flees, believing he has committed a murder while he was drunk.",https://image.tmdb.org/t/p/w500/aNiWJ2C8Amrun55JCvuvGEPIXli.jpg,YOU'D GIVE A DOG A BETTER CHANCE!,92.0,6.1,32.0,1122
The Last Time I Saw Paris,1954-11-18,Drama|Romance,en,"Reporter Charles Wills, in Paris to cover the end of World War II, falls for the beautiful Helen Ellswirth following a brief flirtation with her sister, Marion. After he and Helen marry, Charles pursues his novelistic ambition while supporting his new bride with a deadening job at a newspaper wire service. But when an old investment suddenly makes the family wealthy, their marriage begins to unravel — until a sudden tragedy changes everything.",https://image.tmdb.org/t/p/w500/rerbqTR085seifQjy7bpnEJJ9qI.jpg,The sensational story of youth on a fling,116.0,6.036,56.0,1123
A Farewell to Arms,1932-12-08,Drama|Romance|War,en,"A tale of the World War I love affair, begun in Italy, between American ambulance driver Lt. Frederic Henry and British nurse Catherine Barkley. Eventually separated by Frederic's transfer, tremendous challenges and difficult decisions face each as the war rages on.",https://image.tmdb.org/t/p/w500/eNmPByGZJqlp60nCZRhsAlVAb3F.jpg,Every woman who has loved will understand,89.0,6.116,146.0,1124
The Savage Innocents,1960-03-20,Drama|Adventure,en,An Eskimo who has had little contact with white men goes to a trading post where he accidentally kills a missionary and finds himself being pursued by the police.,https://image.tmdb.org/t/p/w500/9zWw2SCxCygE9tGs8wMuwb9Fws.jpg,"Savage, sensational drama in this fantastic adventure!",110.0,6.744,41.0,1125
The Old Man and the Sea,1958-10-07,Adventure|Drama,en,"Santiago is an aging, down-on-his-luck, Cuban fisherman who, after catching nothing for nearly 3 months, hooks a huge Marlin and struggles to land it far out in the Gulf Stream.",https://image.tmdb.org/t/p/w500/6Q34dJL6m1vdzAr0jDDKDmNL52e.jpg,SPENCER TRACY in his most suspenseful role...ERNEST HEMINGWAY'S story of Heroism...Defeat...Victory!,86.0,6.47,150.0,1126
The Truman Show,1998-06-04,Comedy|Drama,en,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,On the air. Unaware.,103.0,8.147,19121.0,1127
Heidi Fleiss: Hollywood Madam (1995) ,,,,,,,,,,1128
Chungking Express,1994-07-14,Drama|Comedy|Romance,cn,"Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant.",https://image.tmdb.org/t/p/w500/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg,What a difference a day makes.,103.0,8.0,1967.0,1129
Jupiter's Wife,,,,,,,,,,1130
Safe,1995-06-23,Drama,en,"Carol White, a Los Angeles housewife in the late 1980s, comes down with a debilitating illness with no clear diagnosis.",https://image.tmdb.org/t/p/w500/2O71QsBkbqdLqQdx2yuNpJ4pFPq.jpg,In the 21st century nobody will be… Safe.,119.0,6.997,315.0,1131
Feeling Minnesota,1996-09-13,Comedy|Drama|Thriller|Crime|Romance,en,"Sam Clayton's marriage to ex-stripper Freddie comes about when she's strong-armed into the match by Red, a club proprietor who once did her a favor. But Freddie falls in love with Jjaks, Sam's brother, and the pair tries to escape the situation together. It isn't long before both Sam and Red catch up with them, resulting in threats against the two of them -- although tension also starts to build between Sam and Red.",https://image.tmdb.org/t/p/w500/fCJ5eUZw6mGS53spQxGUu7rzFm1.jpg,"Just when she met the man of her dreams, her husband showed up to ruin everything.",99.0,5.406,165.0,1132
Escape to Witch Mountain,1975-03-21,Adventure|Fantasy|Science Fiction|Family,en,"Tia and Tony are two orphaned youngsters with extraordinary powers. Lucas Deranian poses as their uncle in order to get the kids into the clutches of Deranian's megalomaniacal boss, evil millionaire Aristotle Bolt, who wants to exploit them. Jason, a cynical widower, helps Tia and Tony escape to witch mountain, while at the same time Tia and Tony help Jason escape the pain of the loss of his wife.",https://image.tmdb.org/t/p/w500/cXicoCiCfO6FDfv6ozwcfQCnhVW.jpg,Caught in a world where they don't belong... they have one chance to escape!,97.0,6.421,215.0,1133
Get on the Bus,1996-10-16,Drama|Adventure,en,"Several Black men take a cross-country bus trip to attend the Million Man March in Washington, DC in 1995. On the bus are an eclectic set of characters including a laid-off aircraft worker, a man whose at-risk son is handcuffed to him, a black Republican, a former gangsta, a Hollywood actor, a cop who is of mixed racial background, and a white bus driver. All make the trek discussing issues surrounding the march, including manhood, religion, politics, and race.",https://image.tmdb.org/t/p/w500/12DglJ2V73pcrPpsvIKkGycVGJM.jpg,"On October 16, 1996, the one year anniversary of the Million Man March, Spike Lee invites you to lift your head, raise your voice, and...get on the bus.",121.0,6.4,68.0,1134
The Doors,1991-03-01,Music|Drama|History,en,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",https://image.tmdb.org/t/p/w500/x1LM3dzGuG6xOz0aT2e71o11vhu.jpg,The ceremony is about to begin.,140.0,7.123,1498.0,1135
Ghosts of Mississippi,1996-12-20,Drama,en,A Mississippi district attorney and the widow of Medgar Evers struggle to bring a white supremacist to justice for the 1963 murder of the civil rights leader.,https://image.tmdb.org/t/p/w500/gu81MbuLTPbw95xWuDuM7ddcCir.jpg,A forgotten crime. An impossible case. A final chance... for justice.,130.0,6.593,150.0,1136
Beautiful Thing,1996-06-21,Comedy|Drama|Romance,en,"Set during a long, hot summer on the Thamesmead Estate in Southeast London, where three teenagers edge towards adulthood.",https://image.tmdb.org/t/p/w500/34fPI0phWQ189lc5O7aNf12jWPm.jpg,An urban fairytale.,92.0,7.288,321.0,1137
Best Men,1997-10-17,Comedy|Romance,en,"Four tuxedo clad men showing up at a penitentiary to meet a friend who has just been released after three years in prison and is going straight from the jail to marry his girlfriend. En route to the wedding, one of the men asks to stop by a bank to pick up some cash. As it turns out, he is a wanted bank robber who uses Shakespeare passages during his robberies and thus has become known as ""Hamlet"". Soon all five men are caught up in the bank and involved in the robbery as they end up in a hostage situation. The hostage negotiator shows up who turns out to be Hamlet's father.",https://image.tmdb.org/t/p/w500/dDutboDhQeIGZ0VOMI8RkM7MWm3.jpg,"A comedy thriller about four men, a wedding and everybody's funeral.",90.0,5.3,56.0,1138
Hackers,1995-09-14,Action|Crime|Thriller|Drama,en,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",https://image.tmdb.org/t/p/w500/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg,Their crime is curiosity.,107.0,6.38,1355.0,1139
The Road to Wellville,1994-10-28,Comedy|Romance|Drama,en,"An unhappy young couple visit the infamous Kellogg spa in Battle Creek, Michigan while a young hustler tries get into the breakfast-cereal business and compete against John Kellogg's corn flakes.",https://image.tmdb.org/t/p/w500/zh7OVdFMpqpZ027z9RgVIwzxYjZ.jpg,A comedy of the heart and other organs.,118.0,5.588,176.0,1140
The War Room,1993-11-03,Documentary|History,en,"A behind-the-scenes documentary about the Clinton for President campaign, focusing on the adventures of spin doctors James Carville and George Stephanopoulos.",https://image.tmdb.org/t/p/w500/qDNOzfkgneIkJHQmP2Bk68LSDqR.jpg,They Changed The Way Campaigns Are Won,96.0,6.9,65.0,1141
When We Were Kings,1996-10-25,Documentary|TV Movie|History|Music,en,"It's 1974. Muhammad Ali is 32 and thought by many to be past his prime. George Foreman is ten years younger and the heavyweight champion of the world. Promoter Don King wants to make a name for himself and offers both fighters five million dollars apiece to fight one another, and when they accept, King has only to come up with the money. He finds a willing backer in Mobutu Sese Suko, the dictator of Zaire, and the ""Rumble in the Jungle"" is set, including a musical festival featuring some of America's top black performers, like James Brown and B.B. King.",https://image.tmdb.org/t/p/w500/yBkZK1JZOOJ3q5Jj1H9UP9T8YuV.jpg,The untold story of the Rumble in the Jungle.,89.0,7.693,236.0,1142
Hard Eight,1996-05-15,Drama|Crime,en,A stranger mentors a young Reno gambler who weds a hooker and befriends a vulgar casino regular.,https://image.tmdb.org/t/p/w500/1l5UaoP25Ak8PWCKIULQz70yF03.jpg,"If you stay in the game long enough, you'll see everything, win everything, and lose everything.",102.0,6.869,884.0,1143
The Quiet Room,1996-03-21,Drama,en,A seven-year-old girl adopts a vow of silence in protest when her quarrelsome parents grow increasingly hostile to one another.,https://image.tmdb.org/t/p/w500/5sjiajW7AxVA0eFyyIR7Cl49KYv.jpg,Sometimes silence speaks volumes.,92.0,5.7,10.0,1144
Blue Chips,1994-02-18,Drama,en,"Pete Bell, a college basketball coach is under a lot of pressure. His team isn't winning and he cannot attract new players. The stars of the future are secretly being paid by boosters. This practice is forbidden in the college game, but Pete is desperate and has pressures from all around.",https://image.tmdb.org/t/p/w500/tO71i4Ob64tchCRBB5MoqonPKAF.jpg,Victory doesn't come cheap.,108.0,6.073,192.0,1145
Calendar Girl,1993-09-03,Comedy|Drama,en,"Three young men go on an end of the summer trip to Hollywood, California. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.",https://image.tmdb.org/t/p/w500/ljSqZTl5oophHsH1Qtyv7AF2BW6.jpg,It started with a dream and a stolen convertible.,90.0,5.1,62.0,1146
My Family,1995-05-03,Comedy|Drama,en,"Traces over three generations an immigrant family's trials, tribulations, tragedies, and triumphs. Maria and Jose, the first generation, come to Los Angeles, meet, marry, face deportation all in the 1930s. They establish their family in East L.A., and their children Chucho, Paco, Memo, Irene, Toni, and Jimmy deal with youth culture and the L.A. police in the '50s. As the second generation become adults in the '60s, the focus shifts to Jimmy, his marriage to Isabel (a Salvadorian refugee), their son, and Jimmy's journey to becoming a responsible parent.",https://image.tmdb.org/t/p/w500/i6t6QF5QyUd3UAQ8JM8eVU1169D.jpg,Three generations of dreams.,128.0,7.5,79.0,1147
Tom & Viv,1994-04-15,Drama|Romance,en,"The story of the marriage of the poet T. S. Eliot to socialite Vivienne Haigh-Wood, which had to cope with her gynaecological and emotional problems and his growing fame.",https://image.tmdb.org/t/p/w500/iw4ofGbX2AbJ4p17CixwnMjuoJ0.jpg,"For better, for worse, forever.",115.0,6.094,32.0,1148
Walkabout,1971-07-01,Adventure|Drama,en,"Under the pretense of having a picnic, a geologist takes his teenage daughter and 6-year-old son into the Australian outback and attempts to shoot them. When he fails, he turns the gun on himself, and the two city-bred children must contend with harsh wilderness alone. They are saved by a chance encounter with an Aboriginal boy who shows them how to survive, and in the process underscores the disharmony between nature and modern life.",https://image.tmdb.org/t/p/w500/24vooYt5StgtgcQObVr1GHuM5gy.jpg,A boy and girl face the challenge of the world's last frontier.,95.0,7.3,415.0,1149
Last Dance,1996-05-02,Drama|Crime,en,"Upon taking a new job, young lawyer Rick Hayes is assigned to the clemency case of Cindy Liggett, a woman convicted of first degree murder and sentenced to death. As Hayes investigates the background for her case, the two begin to form a deep friendship, while all the while the date for her execution draws nearer.",https://image.tmdb.org/t/p/w500/hsMe9TYfPs1VfpZs9xVLZBVGcES.jpg,Sometimes justice is a crime,103.0,5.747,95.0,1150
Original Gangstas,1996-05-10,Action|Drama|Crime|Thriller,en,"A violent street gang, the Rebels, rule the streets of Gary, Indiana. The Rebels shoot Marvin Bookman, a store-keeper, for giving the police information about a drive-by shooting they committed. Marvin's son, former NFL star John who created the Rebels, returns to Gary to be with his father and, with a little help from his friends, to destroy the Rebels his way.",https://image.tmdb.org/t/p/w500/uirrsTZmoPmscHZdyWz4tiXVqHE.jpg,The original bad boys are stepping up in '96!,99.0,5.606,33.0,1151
In Love and War,1996-12-18,Drama|Romance,en,"After teenage ambulance driver Ernest Hemingway takes shrapnel in the leg during World War I, he falls in love with Agnes von Kurowsky, a beautiful older nurse at the hospital where he's sent to recover. Their affair slowly blossoms, until Hemingway boldly asks Agnes to be his wife and journey to America with him.",https://image.tmdb.org/t/p/w500/sX6MAU5LnYgh4w4Pg0AV18NypQD.jpg,In war they found each other...In each other they found love...,113.0,5.972,145.0,1152
Backbeat,,,,,,,,,,1153
Alphaville,1965-05-05,Drama|Science Fiction|Mystery,fr,"Lemmy Caution is on a mission to eliminate Professor Von Braun, the creator of a malevolent computer that rules the city of Alphaville. Befriended by the scientist’s daughter Natasha, Lemmy must unravel the mysteries of the strictly logical Alpha 60 and teach Natasha the meaning of the word “love.”",https://image.tmdb.org/t/p/w500/fFJP3D5fJDFxN7ChqSye1DZ0fTL.jpg,Suddenly the word is Alphaville... and a secret agent is in a breathless race against the Masters of the Future.,99.0,6.9,570.0,1154
Rendezvous in Paris,1995-03-22,Romance|Comedy|Drama,fr,Three stories of love and coincidence around the theme of dates in Paris.,https://image.tmdb.org/t/p/w500/rCdlWdkwA4MMVNdEQFXQKgxqkzw.jpg,,98.0,6.7,53.0,1155
Cyclo,1996-03-22,Drama|Crime,vi,Follows a young cyclo driver on his poverty-driven descent into criminality in modern-day Ho Chi Minh City. The boy's struggles to scratch out a living for his two sisters and grandfather in the mean streets of the city lead to petty crime on behalf of a mysterious Madame from whom he rents his cyclo.,https://image.tmdb.org/t/p/w500/mdOsnSVTLwHMEH1juOLMiwXcO5o.jpg,,123.0,7.0,106.0,1156
The Relic,1997-01-10,Horror|Mystery|Thriller,en,A homicide detective teams up with an evolutionary biologist to hunt a giant creature that is killing people in a Chicago museum.,https://image.tmdb.org/t/p/w500/fAG4nKPUWEIwGBpP38H64GGV8kl.jpg,They did the unthinkable. They brought it back.,110.0,5.981,556.0,1157
A Single Girl,1995-11-29,Drama,fr,"A young Parisian must make major decisions about pregnancy, a job and her boyfriend.",https://image.tmdb.org/t/p/w500/8dFs6OW8T8Y1R56U2YdlDDBkUPj.jpg,,90.0,6.053,47.0,1158
Stalker,1979-05-25,Science Fiction|Drama,ru,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted.",https://image.tmdb.org/t/p/w500/1qhOyf5C4s9ZdvY8d5JDx9DFMeT.jpg,,162.0,8.1,2323.0,1159
Love! Valour! Compassion!,1997-05-16,Drama,en,"A group of gay friends spend summer weekends together at a lakeside house in upstate New York. As the season progresses and secrets begin to surface, the complex relationships within the group are sometimes strained and sometimes strengthened.",https://image.tmdb.org/t/p/w500/1IcLQpZZUPgevqj05xFbg40jTle.jpg,Eight men. One summer. Figure it out.,108.0,6.2,39.0,1160
Palookaville,1995-09-07,Comedy|Crime,en,"Jerry and his two pals, Russ and Syd, are just looking for some easy money to help them break out of their nowhere lives in their nowhere town. Despite a bungled jewelry store heist which exposes their incompetence as criminals, a fateful event (and an old black-and-white film) convinces them that they can pull off an armored-truck robbery. While they are busy plotting their caper, their dysfunctional families spin out of control, all around them.",https://image.tmdb.org/t/p/w500/vmlO5CbUKmqvn5BVtEprxAmNOkp.jpg,One foot in the door. The other one in the gutter.,92.0,5.8,38.0,1161
Phat Beach,1996-08-02,Comedy|Drama,en,A hefty homeboy borrows his dad's Mercedes and goes to the beach with his friends for wild sun &amp; fun.,https://image.tmdb.org/t/p/w500/qp0oxzhvQWfkVZ2Iy6uhklrT0g0.jpg,Ain't nothin' but a g-string.,89.0,5.1,27.0,1162
The Portrait of a Lady,1996-10-17,Drama|Romance,en,"Ms. Isabel Archer isn't afraid to challenge societal norms. Impressed by her free spirit, her kindhearted cousin writes her into his fatally ill father's will. Suddenly rich and independent, Isabelle ventures into the world, along the way befriending a cynical intellectual and romancing an art enthusiast. However, the advantage of her affluence is called into question when she realizes the extent to which her money colors her relationships.",https://image.tmdb.org/t/p/w500/yoUuMtWTQXzfARYE0nF7Nn7gRuS.jpg,Based on the Novel by Henry James.,144.0,5.961,241.0,1163
Zeus & Roxanne,1997-01-24,Adventure|Comedy|Family|Romance,en,"Mary Beth is a marine biologist that gets annoyed when a dog called Zeus stows aboard her research boat. Nevertheless she is intrigued when the intrusive canine makes best-friends with her captive dolphin, Roxanne. She falls in love with Zeus's owner, Terry, a musician who rides a bike.",https://image.tmdb.org/t/p/w500/igyTJ9cFwjcuzMM5oa0lknRyvYv.jpg,A friendship no one ever thought possible. An adventure no one ever will forget.,98.0,5.198,81.0,1164
Big Bully,1996-01-26,Comedy,en,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",https://image.tmdb.org/t/p/w500/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg,A comedy for the kid in all of us.,90.0,4.547,75.0,1165
Love & Human Remains,1994-07-22,Comedy|Drama,en,"In a Canadian metropolis, failed actor David shares a place with the bookish Candy, whom he dated before coming out as gay. While David, who now waits tables, pursues an aimless romance with a younger coworker, Candy dabbles in both same-sex and heterosexual affairs. As David and Candy's odd assortment of friends — including a telepathic sex worker and an ill-tempered yuppie — pass in and out of their beds, a serial murder stalks the city's women.",https://image.tmdb.org/t/p/w500/9QVw6cPXfsjr4PncE1TeWudeLmh.jpg,Welcome to love in the 90’s,100.0,5.852,44.0,1166
The Sum of Us,1994-07-28,Comedy|Drama|Romance,en,"A widowed father has to deal with two complex issues: while he is searching for ""Miss Right,"" his son, who is in his 20s and gay, is searching for ""Mr. Right.""",https://image.tmdb.org/t/p/w500/4rBI4KISTuMCsWGb0kurWxKjqPQ.jpg,We're all just... The Sum of Us.,100.0,6.814,70.0,1167
Little Buddha,1993-12-01,Drama|History,en,"After the death of Lama Dorje, Tibetan Buddhist monks find three children — one American and two Nepalese — who may be the rebirth of their great teacher.",https://image.tmdb.org/t/p/w500/xy70xtdoKZ3PxlKkakwdhL3UFDQ.jpg,A magical journey to a place where the past and present meet,123.0,6.3,424.0,1168
Fresh,1994-06-15,Crime|Drama,en,"Death and violence anger twelve year old drug courier Fresh, who sets his rival employers against each other.",https://image.tmdb.org/t/p/w500/uXRIIUzjDZZdWR2cUzPJ9eAqaHv.jpg,"In a world where criminals make the rules, an innocent boy is out to beat them at their own game.",114.0,7.2,218.0,1169
Spanking the Monkey,1994-01-15,Comedy|Drama,en,"Bright young student Raymond Aibelli is forced to sidetrack an important medical internship because his mother, Susan, is recovering from a broken leg. When he isn't tasked with the most mundane aspects of Susan's recuperation, Raymond finds distraction in a neighborhood girl, Toni Peck. But, as Susan begins relying on her son for both physical and emotional needs, Raymond starts developing disturbing and unwanted new yearnings.",https://image.tmdb.org/t/p/w500/fuID31Ft8nWLcFRSQ7qZRlu49o7.jpg,A gripping comedy about letting go.,106.0,5.7,76.0,1170
Wild Reeds,1994-06-01,Drama|Romance,fr,"As the Algerian War draws to a close, a teenager with a girlfriend starts feeling homosexual urges for two of his classmates: a country boy, and a French-Algerian intellectual.",https://image.tmdb.org/t/p/w500/yTBEcAsD8OoIs8thYXl7FZuUXN3.jpg,,115.0,7.071,135.0,1171
The Women,1939-09-01,Comedy|Drama,en,A happily married woman lets her catty friends talk her into divorce when her husband strays.,https://image.tmdb.org/t/p/w500/wMTbDI60uvt7ecLZ301XEE8mAOo.jpg,It's all about men!,133.0,7.152,164.0,1172
Bliss,1997-04-14,Drama|Romance,en,"On his wedding day, Joseph nervously admits that his wife is not quite like other women. But his beautiful bride is more than just the ""impulsive, compulsive, obsessive"" woman he thinks he knows. And when Joseph discovers she is hiding troubling secrets, it sends them both on a sexual odyssey that will either destroy or redeem their relationship.",https://image.tmdb.org/t/p/w500/zGdGINvf9oSysprbWnu85dIM7rc.jpg,A daring love story that breaks all the rules.,103.0,5.5,62.0,1173
Caught,1996-01-24,Action|Drama|Thriller,en,A middle-aged couple has a drifter enter their lives. The fish-store owners find that the mysterious young man awakens the couple in ways they didn't expect. Things get tense when the drifter begins an affair with the woman of the house.,https://image.tmdb.org/t/p/w500/33sUPXPUqIe9YnZ80d8xzkiL2gb.jpg,,110.0,5.9,21.0,1174
Hugo Pool,1997-12-12,Comedy|Romance,en,Hugo Pool is a quirky tale of a Los Angeles pool cleaner who falls in love with a young man dying of Lou Gerhig's Disease.,https://image.tmdb.org/t/p/w500/sVVdjinglTAShsEYlYkPNQ0SQGv.jpg,A comedy with serious relief,92.0,5.12,54.0,1175
Welcome to Sarajevo,1997-05-09,War|Drama|History,en,"Follow a group of international journalists into the heart of the once cosmopolitan city of Sarajevo—now a danger zone of sniper and mortar attacks where residents still live. While reporting on an American aid worker who’s trying to get children out of the country, a British correspondent decides to take an orphaned girl home to London.",https://image.tmdb.org/t/p/w500/bGdDqsFCF0v9M5mB77fAF8vJMsy.jpg,"To get the story, they’ll risk everything.",103.0,6.4,114.0,1176
Dunston Checks In,1996-01-12,Family|Comedy|Adventure,en,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",https://image.tmdb.org/t/p/w500/xR2cWC04kWNr7TBeXNOf4uOqn00.jpg,He's about to turn a Five Star Hotel into a three ring circus.,88.0,5.375,232.0,1177
Major Payne,,,,,,,,,,1178
Man of the House,1995-03-03,Comedy|Family,en,"Ben Archer is not happy. His mother, Sandy, has just met a man, and it looks like things are pretty serious. Driven by a fear of abandonment, Ben tries anything and everything to ruin the ""love bubble"" which surrounds his mom. However, after Ben and Jack's experiences in the Indian Guides, the two become much closer.",https://image.tmdb.org/t/p/w500/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,Jack wants to marry Ben's mother. But there are strings attached.,96.0,5.338,176.0,1179
I Love Trouble,1994-06-29,Romance|Comedy,en,Rival Chicago reporters Sabrina Peterson and Peter Brackett join forces to uncover a train wreck conspiracy.,https://image.tmdb.org/t/p/w500/2uyytK3XFRPFXoTchFDtsWiSujn.jpg,Romance Was Never More Dangerous!,123.0,5.495,218.0,1180
A Low Down Dirty Shame,1994-11-23,Comedy|Crime|Action,en,"A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money. During the course of his investigation, he encounters various old connections, ultimately confronting the criminal responsible for Shame's expulsion from the force. He must also deal with two women, Angela, a beautiful old flame, and Peaches, his energetic but annoying sidekick.",https://image.tmdb.org/t/p/w500/v5XUfLrdoGfatObGXhqckYTNqFT.jpg,He's armed and dangerously funny.,100.0,5.616,112.0,1181
Cops & Robbersons,1994-04-15,Comedy|Thriller|Crime,en,"When the police discover that a mob hitman has moved in next door to the Robbersons, they set up a stakeout in the Robbersons' home. Hard-nosed, tough-as-nails Jake Stone and his young partner Tony Moore are assigned to the stakeout, but now it is a question of whether Jake can last long enough to capture the bad guys. The Robbersons want to help, and by doing so, drive Jake crazy.",https://image.tmdb.org/t/p/w500/wnkWgFU5UcLwbExCp1YtCg5Ox4E.jpg,"One's the toughest cop on the force. The other just wants to get some action. Together, they're in a disaster!",93.0,5.131,122.0,1182
The Cowboy Way,1994-06-03,Action|Comedy|Crime|Drama|Thriller|Western,en,"Two championship rodeo partners travel to New York to find their missing friend, Nacho Salazar who went missing there.",https://image.tmdb.org/t/p/w500/5oBVSzbWD85zRCKIWm0KvhypUZU.jpg,How the East was won.,102.0,5.7,157.0,1183
The Endless Summer II,1994-06-03,Documentary,en,"Bruce Brown, king of surfing documentaries, returns after nearly thirty years to trace the steps of two young surfers to top surfing spots around the world. Along the way we see many of the people and locales Bruce visited during the filming of Endless Summer (1966).",https://image.tmdb.org/t/p/w500/89y5faI7wXFghUcsMtwfcVS6JBZ.jpg,The journey continues...,109.0,7.354,24.0,1184
In the Army Now,1994-08-12,Comedy,en,"Bones Conway and Jack Kaufman, two misguided youths, join the reserves to make some easy money for their entrepreneurial dreams. Unfortunately, no sooner than they finish basic training they find themselves at war as part of the water purification team.",https://image.tmdb.org/t/p/w500/cNIIDaJM9nsDP9tTmAN6sjKpeiN.jpg,"Sleep tight, America! The safety of the free world rests in his hands!",91.0,5.1,218.0,1185
The Inkwell,1994-04-22,Comedy|Drama|Romance,en,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.,https://image.tmdb.org/t/p/w500/b5qUq9l6ci9KzzAqYhpdxzjY7qi.jpg,Summer's never been so much fun!,110.0,5.5,16.0,1186
Switchblade Sisters,1975-01-05,Action|Crime|Drama,en,"A tough gang of teenage girls are looking for love and fighting for turf on the mean streets of the city! Bad girls to the core, these impossibly outrageous high school hoodlums go where they want ... and create mayhem wherever they go!",https://image.tmdb.org/t/p/w500/oN7iuemGWGJqk9WBye7tq5LVhn0.jpg,"So Easy to Kill, So Hard to Love",91.0,6.366,93.0,1187
Young Guns II,1990-08-01,Western|Adventure,en,"Three of the original five ""young guns"" — Billy the Kid, Jose Chavez y Chavez, and Doc Scurlock — return in Young Guns, Part 2, which is the story of Billy the Kid and his race to safety in Old Mexico while being trailed by a group of government agents led by Pat Garrett.",https://image.tmdb.org/t/p/w500/7kMjla98srGHlFzAEmoGRcr6GN1.jpg,The west just got wilder.,104.0,6.5,556.0,1188
Prefontaine,1997-01-24,Drama|Romance,en,"It's the true-life story of legendary track star Steve Prefontaine, the exciting and sometimes controversial ""James Dean of Track,"" whose spirit captured the heart of the nation! Cocky, charismatic, and tough, ""Pre"" was a running rebel who defied rules, pushed limits ... and smashed records ...",https://image.tmdb.org/t/p/w500/3jtG9mgfiZRTRQf19BiUAY6QPN3.jpg,He beat the odds... And became a legend!,106.0,6.567,82.0,1189
That Old Feeling,1997-04-04,Comedy|Drama|Romance,en,A bride's divorced parents find their old feelings for each other during the wedding reception and over the course of the next few days upsetting the newlywed's honeymoon.,https://image.tmdb.org/t/p/w500/seeCorvsPL07f3Ga4RKqzzg8BBk.jpg,It was the perfect wedding except for two things... the bride's parents.,105.0,6.27,63.0,1190
A Letter from Death Row,1998-11-17,Drama|Crime|Mystery,en,A convicted killer races to prove conspirators framed him for his girlfriend's murder.,https://image.tmdb.org/t/p/w500/mtqjwonuIXYwD6ylsViyKeQPOoi.jpg,There Is No Lie More Terrifying Than The Truth.,89.0,3.875,8.0,1191
"Boys of St. Vincent, The",,,,,,,,,,1192
Before the Rain,1994-06-09,Drama|War,mk,"The circularity of violence seen in a story that circles on itself. In Macedonia, during the war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A young monk who's taken a vow of silence offers her protection. In London, a photographic editor who's pregnant needs to talk it out with her estranged husband and chooses a toney restaurant.",https://image.tmdb.org/t/p/w500/e3oPylXb2nnoE5fVLaehi1Jaxsa.jpg,"Time Never Dies, the Circle is Not Round.",113.0,7.367,165.0,1193
